title,artists,artist_nationality,genre,object_type,height,width,area,seller,seller_type,buyer,buyer_type,buyer_address,coordinates,purchase_date,sale_date,purchase_price,sale_price
Diana & Actaeon; Diana & Actaeon Lot 4,"WTEWAEL, JOACHIM ANTONISZ.",Dutch,History,Painting,18.25,25.75,469.9375,Christie's,Dealer,"Hunt, Joseph H.",Collector,"28 E. 21st St., New York, NY, USA","40.740563,-73.991214",1912-03-03,1916-02-08,1.1,10
Le menu du Monseigneur,"DELORT, CHARLES EDOUARD",French,Genre,Painting,,,,Goupil et Cie.,Dealer,"Vanderbilt, William Kissam",Collector,"5 E. 44th St., New York, NY, USA","40.754756,-73.979737",1878-09-09,1878-11-11,4500,1500
Port of a Man; Port of a man in brown coat & red vest Lot 110,[BRITISH],British,Portrait,Painting,64.25,54,3469.5,Christie's,Dealer,American Art Association,Dealer,"30 E. 57th St., New York, NY, USA","40.763556,-73.975184",1912-03-03,1927-04-01,42,123
Italie delivrée; Italie délivrée,"HEBERT, ANTOINE AUGUSTE ERNEST",French,History,Painting,,,,Goupil et Cie.,Dealer,"Rhines, J.O.",Collector,"49 W. 51st St., New York, NY, USA","40.758358,-73.974749",1878-09-09,1881-02-02,750,150
Feeding the Nestlings,"MILLET, JEAN FRANÇOIS (1814)",French,Genre,Pastel,,,,Roebel and Reinhardt Galleries,Dealer,Roebel and Reinhardt Galleries,Dealer,"565 Fifth Ave., New York, NY, USA","40.806416,-73.942262",1912-03-11,1912-05-10,5000,7250
Daybreak Early Spring,"TRYON, DWIGHT WILLIAM",American,Landscape,Painting,11.75,15.75,185.0625,"Tryon, Dwight William",Artist,Roebel and Reinhardt Galleries,Dealer,"565 Fifth Ave., New York, NY, USA","40.806416,-73.942262",1912-03-08,1912-05-10,900,1300
"Bronze Louis XV ""The wrestlers"" formerly bgt by us of E. M. Hodgkins London",[ANONYMOUS],Unknown,Genre,Sculpture,,,,"Silo, James P.",Dealer,"Gary, Elbert Henry",Collector,"Waldorf Astoria, New York, NY, USA","40.730079,-73.992841",1912-05-02,1912-05-06,250,1500
Peasant girl in flower garden,"KNIGHT, RIDGWAY",American,Genre,Painting,,,,"Sherry, Louis",Collector,"Graham, (James & Sons), Gallery",Dealer,"420 Madison Ave., New York, NY, USA","40.75687,-73.976442",1912-05-01,1916-12-07,1500,1650
Underbrush; Underbrush Forest of Fontainebleau,"DIAZ DE LA PEÑA, NARCISSE VIRGILE",French,Landscape,Painting,12.75,17.375,221.53125,"Jennings, Walter",Collector,"Gallatin, R. Horace",Collector,"438 Madison Ave., New York, NY, USA","40.757357,-73.976062",1912-05-02,1912-07-12,3500,7000
Under the willows; Under the Willows,"MARIS, WILLEM",Dutch,Genre,Painting,50,34.5,1725,American Art Association,Dealer,"Harding, J. Horace",Collector,"955 Fifth Ave., New York, NY, USA","40.806416,-73.942262",1907-03-03,1908-04-04,5100,7650
Mrs. Colin Campbell of Park,"RAEBURN, HENRY",British,Portrait,Painting,30,24.875,746.25,"Sulley, (Arthur J.), and Co.",Dealer,"Reid, Whitelaw, Mrs.",Collector,"451 Madison Ave., New York, NY, USA","40.757902,-73.975482",1912-06-01,1913-03-12,3700,15000
Turtle,"BARYE, ANTOINE LOUIS",French,Animals,Sculpture,,,,"Mallet, Ernst",Dealer,"Henschel, Charles R.",Collector,"22 E. 47th St., New York, NY, USA","40.756873,-73.979111",1912-06-12,1917-04-10,2777.777777777778,30
Odette & Charles VI,"MERLE, HUGUES",French,History,Painting,,,,Goupil et Cie.,Dealer,"Flagler, Henry Morrison",Collector,"5 E. 48th St., New York, NY, USA","40.757387,-73.978147",1878-09-09,1879-06-06,12500,3500
Mrs Veitch,"RAEBURN, HENRY",British,Portrait,Painting,,,,Colnaghi's,Dealer,Scott and Fowles,Dealer,"590 Fifth Ave., New York, NY, USA","40.76457,-73.973636",1912-06-06,1912-09-10,10600,8000
Port of a Gentleman in armour,"HANNEMAN, ADRIAEN",Dutch,Portrait,Painting,32.5,25.875,840.9375,Colnaghi's,Dealer,"Beard, J. Robinson",Collector,"31 E. 72nd St., New York, NY, USA","40.771781,-73.965435",1912-06-08,1918-01-12,57.75,1500
Gleaners pres des Meules,"LHERMITTE, LÉON AUGUSTIN",French,Landscape,Painting,35.5,50.5,1792.75,"Boussod, Valadon et Cie.",Dealer,"Billings, Cornelius Kingsley Garrison",Collector,"54 Wall St., New York, NY, USA","40.706165,-74.009067",1912-06-09,1912-09-11,37500,13500
La Solitude (Souvenir de Vigen Lemousin),"COROT, JEAN BAPTISTE CAMILLE",French,Landscape,Painting,38.625,51.625,1994.015625,"Lair-Dubreuil, Fernand",Dealer,"Moore, William Henry",Collector,"14 Wall St., New York, NY, USA","40.707407,-74.011029",1912-06-07,1912-09-07,385000,92400
Le Lac effet du Matin,"COROT, JEAN BAPTISTE CAMILLE",French,Landscape,Painting,16.5,24,396,"Lair-Dubreuil, Fernand",Dealer,"Billings, Cornelius Kingsley Garrison",Collector,"54 Wall St., New York, NY, USA","40.706165,-74.009067",1912-06-04,1912-09-03,133100,32000
Salome,"REGNAULT, ALEXANDRE GEORGES HENRI",French,History,Painting,62.625,40.125,2512.828125,"Lair-Dubreuil, Fernand",Dealer,"Knoedler, Roland F.",Dealer,"556 Fifth Ave., New York, NY, USA","40.76457,-73.973636",1912-06-04,1916-08-08,528000,102524
Le Col de la Faucille,"ROUSSEAU, THÉODORE",French,Landscape,Painting,36.25,46.375,1681.09375,"Lair-Dubreuil, Fernand",Dealer,"Hill, James Jerome",Collector,"8 E. 65th St., New York, NY, USA","40.767789,-73.970013",1912-06-09,1912-12-04,74250,31500
"[""arabs starting on an expedition"" title info from Sales Book 3, 1874-1879, f.257]","SCHREYER, CHRISTIAN ADOLF",German,Genre,Painting,,,,Tedesco Frères,Dealer,"Walker, Isaac",Collector,"166 Fifth Ave., New York, NY, USA","40.76457,-73.973636",1878-09-09,1878-12-12,7500,1675
Julia in the Rose Garden,"KNIGHT, RIDGWAY",American,Portrait,Painting,,,,Knoedler's,Dealer,"Pratt, Dallas Bache",Collector,"24 W. 48th St./52 William St., New York, NY, USA","40.757426,-73.978523",1912-06-08,1912-09-09,4500,1500
"Costillares, the Famous Toreador","GOYA Y LUCIENTES, FRANCISCO JOSÉ DE",Spanish,Portrait,Painting,,,,Colnaghi's,Dealer,Scott and Fowles,Dealer,"590 Fifth Ave., New York, NY, USA","40.76457,-73.973636",1912-07-02,1912-10-11,28000,5000
"[""Bedouins in an expedition"" title info from Sales Book 4, 1879-1881, f.6]","SCHREYER, CHRISTIAN ADOLF",German,Genre,Painting,,,,Tedesco Frères,Dealer,"Dunbar, James M.",Collector,"7 E. 35th St., New York, NY, USA","40.748985,-73.983709",1878-09-09,1879-06-06,6200,1500
Crucifix,"SARGENT, JOHN SINGER",American,History,Sculpture,,,,Agnew's,Dealer,"Deering, Charles",Collector,"9 W. 52nd St., New York, NY, USA","40.759702,-73.975982",1912-07-12,1916-11-06,220,3500
Souvenir of Italy,"COROT, JEAN BAPTISTE CAMILLE",French,Landscape,Painting,26.5,19,503.5,Christie's,Dealer,"Clark, William Andrews",Collector,"959 Fifth Ave./20 Exchange Place, New York, NY, USA","40.806416,-73.942262",1912-08-12,1912-10-07,8820,50000
Port of a man with hat holding a paper,REMBRANDT HARMENSZ. VAN RIJN,Dutch,Portrait,Painting,,,,Durand-Ruel,Dealer,"Clark, William Andrews",Collector,"959 Fifth Ave./20 Exchange Place, New York, NY, USA","40.806416,-73.942262",1912-08-09,1912-10-04,13300,90000
de Manuel Romero Ministre du Joseph,"GOYA Y LUCIENTES, FRANCISCO JOSÉ DE",Spanish,Portrait,Painting,,,,Durand-Ruel,Dealer,"Deering, Charles",Collector,"5 W. 56th St., New York, NY, USA","40.762414,-73.97452",1912-09-05,1912-11-01,80000,25000
Lion walking,"BARYE, ANTOINE LOUIS",French,Animals,Sculpture,,,,Roebel and Reinhardt Galleries,Dealer,"Sheffield, James Rockwell, Mrs.",Collector,"45 E. 67th St., New York, NY, USA","40.76838,-73.967527",1912-10-05,1920-12-09,5000,1137.5
Tiger walking,"BARYE, ANTOINE LOUIS",French,Animals,Sculpture,,,,Roebel and Reinhardt Galleries,Dealer,"Sheffield, James Rockwell, Mrs.",Collector,"45 E. 67th St., New York, NY, USA","40.76838,-73.967527",1912-10-02,1920-12-04,5000,1137.5
Landscape & Peasants; Landscape Group of Peasants,"GOYEN, JAN JOSEPHSZ. VAN",Dutch,Landscape,Painting,14,22.75,318.5,Knoedler's,Dealer,"Kleinberger, (F.), Galleries",Dealer,"725 Fifth Ave., New York, NY, USA","40.764448,-73.973789",1912-10-02,1927-03-11,168,666.6666666666666
Marine; Returning home,"BERGUE, TONY FRANÇOIS DE; WAGNER, FERDINAND (1819)",French,Landscape,Painting,,,,"Morris, Schwab & Company Art Galleries",Dealer,"Raynor, James A.",Collector,"15 W. 36th St., New York, NY, USA","40.749929,-73.98411",1878-05-05,1878-11-11,50,1200
Sir Paul Pechell,"GAINSBOROUGH, THOMAS",British,Portrait,Painting,29.875,25,746.875,Colnaghi's,Dealer,"Payne, Oliver Hazard, Colonel",Collector,"852 Fifth Ave., New York, NY, USA","40.76395,-73.974088",1912-10-03,1912-12-10,4624,36000
Port of a Gentleman,"SALVIATI, FRANCESCO (FRANCESCO DE' ROSSI)",Italian,Portrait,Painting,48.5,36.75,1782.375,Colnaghi's,Dealer,"Harding, J. Horace",Collector,"25 Broad St., New York, NY, USA","40.706116,-74.011171",1912-10-06,1913-03-01,3780,30000
Port of Johann Reys age 30,"FABER VON CREUZNACH, CONRAD",German,Portrait,Painting,,,,Colnaghi's,Dealer,"Plant, M.F.",Collector,"61 Broadway, New York, NY, USA","40.705455,-74.013746",1912-10-07,1919-01-13,2860,30000
Port of Anna Vesteuderi age 32,"FABER VON CREUZNACH, CONRAD",German,Portrait,Painting,,,,Colnaghi's,Dealer,"Plant, M.F.",Collector,"61 Broadway, New York, NY, USA","40.705455,-74.013746",1912-10-06,1919-01-13,2860,30000
Port of a Man in a black Coat,"GHIRLANDAIO, RIDOLFO (RIDOLFO DI DOMENICO BIGORDI)",Italian,Portrait,Painting,,,,Colnaghi's,Dealer,Scott and Fowles,Dealer,"590 Fifth Ave., New York, NY, USA","40.76457,-73.973636",1912-10-03,1912-10-06,5450,5000
Cattle,"VOLTZ, FRIEDRICH",German,Animals,Painting,,,,"Fleischmann, E.A. Fine Art Gallery",Dealer,"Myers, Julien L.",Collector,"5 W. 53rd St., New York, NY, USA","40.760522,-73.975865",1878-10-10,1879-12-12,3114,900
A Gentleman in riding costume seated at a table with his dog before him,[BRITISH],British,Portrait,Painting,30.625,25.125,769.453125,Christie's,Dealer,"Duryea, E.W., Mrs.",Collector,"80 Madison Ave., New York, NY, USA","40.744008,-73.985695",1912-10-04,1912-12-11,152.25,1800
Marble Quarry at Carrara,"SARGENT, JOHN SINGER",American,Landscape,Painting,28,36,1008,Knoedler's,Dealer,"Dick, Harris Brisbane",Collector,"Park Ave. Hotel, New York, NY, USA","40.737732,-73.988159",1912-10-01,1912-10-07,500,1500
Countess Harrington,"REYNOLDS, JOSHUA",British,Portrait,Painting,,,,"Harrington, Charles Augustus Stanhope, 8th Earl of",Collector,"Moore, William Henry",Collector,"14 Wall St., New York, NY, USA","40.707407,-74.011029",1912-10-08,1913-03-10,40000,260000
Le Duc d'Albe,"GOYA Y LUCIENTES, FRANCISCO JOSÉ DE",Spanish,Portrait,Painting,,,,"Lair-Dubreuil, Fernand",Dealer,"Deering, Charles",Collector,"5 W. 56th St., New York, NY, USA","40.762414,-73.97452",1912-11-08,1912-11-09,71500,18000
Lion with lifted Paw,"BARYE, ANTOINE LOUIS",French,Animals,Sculpture,,,,"Messmore, Carman Harriot",Collector,"Heckscher, August",Collector,"320 Park Ave., New York, NY, USA","40.757458,-73.973914",1912-11-04,1917-01-03,300,300
Confidential Conversation,"KNIGHT, RIDGWAY",American,Genre,Painting,,,,Knoedler's,Dealer,"Sperry, Thomas A.",Collector,"2 W. 45th St./Cranford N.J., New York, NY, USA","40.755404,-73.979483",1912-11-07,1913-09-08,10000,2800
Half figure,"BÖHM, PÁL",Hungarian,Genre,Painting,,,,"Fleischmann, E.A. Fine Art Gallery",Dealer,"Parrish, James Cresson",Collector,"20 W. 26th St., New York, NY, USA","40.743844,-73.989254",1878-10-10,1879-11-11,330,150
Honour Park Kent,"TURNER, JOSEPH MALLORD WILLIAM",British,Landscape,Painting,6.375,9.375,59.765625,"Warden, William Gray II",Collector,"Emerson, William",Collector,"6 E. 70th St., New York, NY, USA","40.77097,-73.967826",1912-11-04,1913-03-03,52.5,1500
Port of Anne Izard afterwards Mrs. William Allen Deas,"STUART, GILBERT",American,Portrait,Painting,,,,French and Co.,Dealer,"Harriman, Mary Williamson Averell",Collector,"1 E. 69th St., New York, NY, USA","40.770517,-73.968441",1912-12-07,1913-03-09,2700,8550
"[""Landscape"" title info from Sales Book 4, 1879-1881, f.15]; Landscape","DUPRÉ, JULES",French,Landscape,Painting,,,,Tedesco Frères,Dealer,"Dunbar, James M.",Collector,"7 E. 35th St., New York, NY, USA","40.748985,-73.983709",1879-08-08,1879-10-10,3000,900
Mrs. Campbell,"RAEBURN, HENRY",British,Portrait,Painting,30,24.875,746.25,Agnew's,Dealer,"Frick, Henry Clay",Collector,"1 E. 70th St., New York, NY, USA","40.771147,-73.967993",1912-12-02,1916-12-02,440,15000
Fete de jeune fille; Tete de jeune fille; Tete de Jeune fille,"HENNER, JEAN JACQUES",French,Genre,Painting,10.625,7.375,78.359375,"Moore, Frederic Potts",Collector,"Heniot, Enrique L.",Collector,"33 W. 67th St., New York, NY, USA","40.773486,-73.978945",1918-05-02,1919-11-09,400,600
Irredescence,"BELL, EDITH A.",British,Genre,Painting,18,12,216,"Bell, Edith A.",Artist,"Lewisohn, Adolph",Collector,"9 W. 57th St., New York, NY, USA","40.763142,-73.974131",1913-01-02,1913-03-03,500,650
Sea & Sky,"TRYON, DWIGHT WILLIAM",American,Landscape,Pastel,8,12,96,"Tryon, Dwight William",Artist,"Bradley, W.E., Mrs.",Collector,"490 Riverside Dr., New York, NY, USA","40.81227,-73.963321",1913-01-10,1914-04-12,250,350
"[""Street at Toh Kanels"" title info from Sales Book 8, 1900-1907, f.112]; Street at Top Kanels","PASINI, ALBERTO",Italian,Landscape,Painting,17.625,14.625,257.765625,"Boussod, Valadon et Cie.",Dealer,"Warner, J.",Collector,"1 W. 72nd St., New York, NY, USA","40.776508,-73.976644",1902-04-04,1902-11-11,850,1500
Renseignement,"WALKER, JAMES ALEXANDER",British,Genre,Painting,,,,Bulla Frères et Jouy,Dealer,"Vanderbilt, William Kissam",Collector,"5 E. 44th St., New York, NY, USA","40.754756,-73.979737",1878-09-09,1878-11-11,2500,1000
"""Baigneuses, les îles Borromees""","COROT, JEAN BAPTISTE CAMILLE",French,Genre,Painting,30.875,22.125,683.109375,"Lair-Dubreuil, Fernand",Dealer,"Billings, Cornelius Kingsley Garrison",Collector,"54 Wall St., New York, NY, USA","40.706165,-74.009067",1913-01-12,1913-03-01,231000,54000
"""Les Avocats""","DAUMIER, HONORÉ VICTORIN",French,Genre,Painting,16,12.875,206,"Lair-Dubreuil, Fernand",Dealer,"Blumenthal, George",Collector,"23 W. 53rd St., New York, NY, USA","40.760696,-73.976179",1913-01-01,1913-03-05,29700,8500
"""La Leçon de musique""","MANET, EDOUARD",French,Genre,Painting,55.25,67.375,3722.46875,"Lair-Dubreuil, Fernand",Dealer,"Deering, Charles",Collector,"9 W. 52nd St., New York, NY, USA","40.759702,-73.975982",1913-01-08,1916-12-02,132000,50000
Taureau en raccourci,"BONHEUR, ROSA",French,Animals,Painting,25.25,31.5,795.375,"Boussod, Valadon et Cie.",Dealer,"Day, Joseph P.",Collector,"31 Nassau St., New York, NY, USA","40.708408,-74.009717",1913-02-03,1920-01-01,2750,750
Le Cantonnier,"MILLET, JEAN FRANÇOIS (1814)",French,Genre,Drawing,16.25,11.875,192.96875,"Lair-Dubreuil, Fernand",Dealer,F. Keppel & Co.,Collector,"4 E. 39th St., New York, NY, USA","40.751444,-73.98219",1913-02-08,1915-03-08,10010,2800
Etudes de Boeuf,"TROYON, CONSTANT",French,Animals,Painting,18.5,22,407,American Art Association,Dealer,"Harris, John F.",Collector,"c/o Harris Winthrop Co. 15 Wall St., New York, NY, USA","40.720709,-73.981308",1913-02-11,1913-02-12,2450,2695
Early Morning,"WYANT, ALEXANDER HELWIG",American,Landscape,Painting,37.25,49.5,1843.875,American Art Association,Dealer,"Harriman, Mary Williamson Averell",Collector,"475 Fifth Ave., New York, NY, USA","40.806416,-73.942262",1913-02-07,1913-02-10,12000,13200
A Gray Day,"WYANT, ALEXANDER HELWIG",American,Landscape,Painting,,,,American Art Association,Dealer,"Jennings, Walter",Collector,"26 Broadway, New York, NY, USA","40.706214,-74.012948",1913-02-02,1913-02-12,3900,4100
Twilight,"TRYON, DWIGHT WILLIAM",American,Landscape,Painting,10.75,15.875,170.65625,"Tryon, Dwight William",Artist,"Tanenbaum, Moses",Collector,"31 W. 75th St., New York, NY, USA","40.778599,-73.975293",1913-03-06,1913-03-09,900,1250
Landscape,"LUCAS, JOHN TEMPLETON (1836)",British,Landscape,Painting,,,,"Goupil Gallery, Ltd.",Dealer,"Frost, Charles L.",Collector,"4 E. 23rd St., New York, NY, USA","40.741285,-73.989169",1877-01-13,1877-02-02,240,200
The Pool Clearing off,"ROUSSEAU, THÉODORE",French,Landscape,Painting,13.875,20.375,282.703125,American Art Association,Dealer,"Lehman, Meyer H.",Collector,"22 William St./667 Madison Ave., New York, NY, USA","40.705458,-74.009892",1913-03-02,1913-03-03,17000,20000
Fillette au bal,"BOUGUEREAU, ADOLPHE WILLIAM",French,Genre,Painting,28.25,20.125,568.53125,"Tooth, (Arthur), and Sons",Dealer,"Downey, John I.",Collector,"43 E. 57th St., New York, NY, USA","40.76386,-73.975732",1913-03-08,1913-04-08,9000,2250
Bonaparte in Egypt,"GÉRÔME, JEAN LÉON",French,History,Painting,,,,American Art Association,Dealer,"Hearst, William Randolph",Collector,"139 Riverside Drive, New York, NY, USA","40.78994,-73.980356",1913-03-05,1913-03-06,3500,3850
Peasant leading a cow,"MAUVE, ANTON",Dutch,Animals,Painting,,,,American Art Association,Dealer,"Downey, John I.",Collector,"43 E. 57th St., New York, NY, USA","40.76386,-73.975732",1913-03-03,1916-07-06,5900,7750
A Lady of Quality,"ROMNEY, GEORGE",British,Portrait,Painting,,,,Scott and Fowles,Dealer,Scott and Fowles,Dealer,"590 Fifth Ave., New York, NY, USA","40.76457,-73.973636",1913-03-06,1913-04-08,40100,21854.05
The Rocks of Kerrera,"CAMERON, DAVID YOUNG",British,Landscape,Painting,30,40.5,1215,Knoedler's,Dealer,"Mayer, Bernard",Collector,"41 E. 72nd St., New York, NY, USA","40.771747,-73.965219",1913-03-01,1920-01-04,200,1800
Autumn,"TRYON, DWIGHT WILLIAM",American,Landscape,Pastel,7.875,11.875,93.515625,"Tryon, Dwight William",Artist,"Williams, Harriet Trumbull",Collector,"6 Pierrepont St., Brooklyn, NY, USA","40.6962,-73.996991",1913-04-04,1913-05-02,250,400
Gentleman in blue coat & vest,"DANCE-HOLLAND, NATHANIEL",British,Portrait,Painting,29.625,25,740.625,Christie's,Dealer,"Westin, C.F.",Collector,"635 Park Ave., New York, NY, USA","40.767116,-73.966729",1913-04-04,1916-12-03,29.4,1200
General Macgregor,"RAEBURN, HENRY",British,Portrait,Painting,,,,Agnew's,Dealer,"Guggenheim, Isaac",Collector,"410 Park Ave., New York, NY, USA","40.760112,-73.972003",1913-04-04,1917-01-08,1732.5,15000
The Bower,"METCALF, WILLARD LEROY",American,Genre,Painting,26.125,29.125,760.890625,American Art Association,Dealer,"Firuski, Louis L.",Collector,"37 Flatbush Ave., Brooklyn, NY, USA","40.687003,-73.97959",1913-04-05,1913-05-05,700,800
The Mussel Gatherers,"MARTIN, HOMER DODGE",American,Genre,Painting,,,,American Art Association,Dealer,"Smithers, Francis Sydney",Collector,"180 W. 59th St., New York, NY, USA","40.76659,-73.978027",1913-04-05,1913-05-09,9000,10500
Virgin & Child,[ITALIAN - FLORENTINE],Italian,History,Painting,27,16,432,American Art Association,Dealer,"Sachs, Paul J.",Collector,"21 W. 85th St., New York, NY, USA","40.784923,-73.970369",1913-05-05,1915-01-06,2200,4000
Lake George,"MARTIN, HOMER DODGE",American,Landscape,Painting,13.125,20,262.5,American Art Association,Dealer,"McCutcheon, George Barr",Collector,"1 W. 64th St., New York, NY, USA","40.771155,-73.979652",1913-04-02,1916-02-08,775,1025
Port of a Bull Fighter,"GOYA Y LUCIENTES, FRANCISCO JOSÉ DE",Spanish,Portrait,Painting,21.25,17,361.25,Colnaghi's,Dealer,"Stern, A., Mrs.",Collector,"22 E. 47th St., New York, NY, USA","40.756873,-73.979111",1913-04-04,1919-11-03,900,9500
"""Port Bineau""; Point Bineau","SEURAT, GEORGES PIERRE",French,Landscape,Painting,6.125,9.375,57.421875,"French Art Galleries, Inc.",Dealer,"French Art Galleries, Inc.",Dealer,"2 E. 56th St., New York, NY, USA","40.762293,-73.974457",1944-12-12,1945-03-03,3000,2500
Boy with sabot; Boy with Sabot,"ISRAËLS, JOZEF",Dutch,Genre,Painting,15.5,10.875,168.5625,Scott and Fowles,Dealer,Scott and Fowles,Dealer,"590 Fifth Ave., New York, NY, USA","40.76457,-73.973636",1907-11-02,1912-01-13,625,2322.66
The Flower Wreath,"COROT, JEAN BAPTISTE CAMILLE",French,Genre,Painting,26,16.75,435.5,Durand-Ruel,Dealer,"Dickerman, Watson B.",Collector,"998 Fifth Ave., New York, NY, USA","40.76395,-73.974088",1913-05-05,1913-05-05,17000,25000
Valley of Tiffange 1838; Valley of Tiffauge,"ROUSSEAU, THÉODORE",French,Genre,Painting,25,40.5,1012.5,"Glaenzer, Eugene & Co.",Dealer,"Glaenzer, Eugene & Co.",Dealer,"560 Fifth Ave., New York, NY, USA","40.76457,-73.973636",1910-05-05,1910-05-05,10000,3000
Servante de brasserie,"CONDAMIN, HENRI",French,Genre,Painting,,,,Bulla Frères et Jouy,Dealer,"Osgood, George A.",Collector,"19 E. 21st St., New York, NY, USA","40.740576,-73.990929",1878-09-09,1881-04-04,600,250
Moutons,"SCHENCK, AUGUST FRIEDRICH ALBRECHT",Danish,Animals,Painting,,,,Bulla Frères et Jouy,Dealer,"Skidmore, Joseph Russell",Collector,"32 E. 88th St., New York, NY, USA","40.782207,-73.958492",1878-09-09,1878-12-12,2000,700
Port of Sir Brian Tuke,"HOLBEIN, HANS (THE YOUNGER)",German,Portrait,Painting,19.5,15.375,299.8125,Colnaghi's,Dealer,"Dickerman, Watson B.",Collector,"998 Fifth Ave., New York, NY, USA","40.76395,-73.974088",1913-06-06,1914-05-04,30000,200000
Port of a Gentleman,"[AMERICAN]; STUART, GILBERT",American,Portrait,Painting,30,25,750,Christie's,Dealer,"Perkins, Robert P.",Collector,"10 E. 41st St., New York, NY, USA","40.752541,-73.981035",1913-06-04,1919-12-05,252,5000
Port of a Nobleman; Port of a Nobleman (in blue dress & dark robe trimmed with fur and a statue by his side,GIULIO ROMANO (GIULIO PIPPI),Italian,Portrait,Painting,52.75,37.375,1971.53125,Christie's,Dealer,American Art Association,Dealer,"30 E. 57th St., New York, NY, USA","40.763556,-73.975184",1913-07-07,1927-05-08,168,1066
Port of an Officer,"BEECHEY, WILLIAM",British,Portrait,Painting,36,28,1008,Christie's,Dealer,"Brewster, George, Mrs.",Collector,"71 E. 71st St., New York, NY, USA","40.770626,-73.965233",1913-08-08,1916-04-12,52.5,3000
Landscape,"MESGRIGNY, CLAUDE FRANÇOIS AUGUSTE, MARQUIS DE",French,Landscape,Painting,,,,"Goupil Gallery, Ltd.",Dealer,"Myers, Angelo L.",Collector,"105 E. 37th St., New York, NY, USA","40.74896,-73.979753",1877-01-13,1878-05-05,300,250
Port of a Boy in classical dress with a Parrot,"KNELLER, GODFREY, BART.",British,Portrait,Painting,49.75,40.375,2008.65625,Christie's,Dealer,"Beard, J. Robinson",Collector,"31 E. 72nd St., New York, NY, USA","40.771781,-73.965435",1913-08-08,1918-01-06,47.25,3000
Femme,"BEYSCHLAG, ROBERT JULIUS",German,Genre,Painting,,,,Bulla Frères et Jouy,Dealer,"Calvin, Delano C.",Collector,"9 E. 46th St., New York, NY, USA","40.756208,-73.979187",1878-09-09,1879-01-13,325,125
Femme,"BEYSCHLAG, ROBERT JULIUS",German,Genre,Painting,,,,Bulla Frères et Jouy,Dealer,"Calvin, Delano C.",Collector,"9 E. 46th St., New York, NY, USA","40.756208,-73.979187",1878-09-09,1879-01-13,325,125
